S4000000000	search all the country .	now => @org.wikidata.country => notify
S4000000001	get a list of country .	now => @org.wikidata.country => notify
S4000000002	i would like to find any country .	now => @org.wikidata.country => notify
S4000000003	i 'm looking for every country	now => @org.wikidata.country => notify
S4000000004	get the country	now => @org.wikidata.country => notify
S4000000005	get the country .	now => @org.wikidata.country => notify
S4000000006	get the country .	now => @org.wikidata.country => notify
S4000000007	i 'd like to find any country	now => @org.wikidata.country => notify
S4000000008	get the country .	now => @org.wikidata.country => notify
S4000000009	i 'm looking to search every country	now => @org.wikidata.country => notify
S4000000010	i 'd like to find any country	now => @org.wikidata.country => notify
S4000000011	i am looking for every country	now => @org.wikidata.country => notify
S4000000012	i would like to find any country	now => @org.wikidata.country => notify
S4000000013	i am looking for every country .	now => @org.wikidata.country => notify
S4000000014	i 'm looking to search every country .	now => @org.wikidata.country => notify
S4000000015	i 'm looking for every country .	now => @org.wikidata.country => notify
S5000000016	i would like to search the list of all country that have suicide rate NUMBER_0 .	now => ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 => notify
S5000000017	i 'd like to search the list of all country that have suicide rate NUMBER_0 .	now => ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 => notify
S5000000018	i 'd like to search some country having gini coefficient NUMBER_0	now => ( @org.wikidata.country ) filter param:gini_coefficient:Number == NUMBER_0 => notify
S5000000019	i would like to search the list of all country that have suicide rate NUMBER_0 .	now => ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 => notify
S5000000020	i want the country with suicide rate NUMBER_0 and the latest inception	now => ( sort param:inception:Date desc of ( ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 ) ) [ 1 ] => notify
S5000000021	search any country treccani id QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:treccani_id:String =~ QUOTED_STRING_0 => notify
S5000000022	get an country treccani id QUOTED_STRING_0 .	now => ( @org.wikidata.country ) filter param:treccani_id:String =~ QUOTED_STRING_0 => notify
S5000000023	get the list of all country maintained by wiki project QUOTED_STRING_0 .	now => ( @org.wikidata.country ) filter param:maintained_by_wikiproject:String =~ QUOTED_STRING_0 => notify
S5000000024	i am looking to retrieve a list of all country driving side left .	now => ( @org.wikidata.country ) filter param:driving_side:Enum(Left,Right) == enum:Left => notify
S5000000025	get an country treccani id QUOTED_STRING_0 .	now => ( @org.wikidata.country ) filter param:treccani_id:String =~ QUOTED_STRING_0 => notify
S5000000026	i would like to search the list of all country that have suicide rate NUMBER_0 .	now => ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 => notify
S5000000027	i want the country with suicide rate NUMBER_0 and the latest inception .	now => ( sort param:inception:Date desc of ( ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 ) ) [ 1 ] => notify
S5000000028	i 'd like to search the list of all country that have suicide rate NUMBER_0 .	now => ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 => notify
S5000000029	i would like to search the list of all country that have suicide rate NUMBER_0 .	now => ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 => notify
S5000000030	i need any country maintained by wiki project QUOTED_STRING_0 .	now => ( @org.wikidata.country ) filter param:maintained_by_wikiproject:String =~ QUOTED_STRING_0 => notify
S5000000031	search any country treccani id QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:treccani_id:String =~ QUOTED_STRING_0 => notify
S5000000032	i 'm looking to retrieve a list of all country driving side left .	now => ( @org.wikidata.country ) filter param:driving_side:Enum(Left,Right) == enum:Left => notify
S5000000033	are there country that have more slowly speed limit than NUMBER_0 kilometers per hour ?	now => ( @org.wikidata.country ) filter param:speed_limit:Measure(mps) <= NUMBER_0 unit:kmph => notify
S5000000034	search for a list of all country treccani id QUOTED_STRING_0 .	now => ( @org.wikidata.country ) filter param:treccani_id:String =~ QUOTED_STRING_0 => notify
S5000000035	i 'd like to search the list of all country that have suicide rate NUMBER_0 .	now => ( @org.wikidata.country ) filter param:suicide_rate:Number == NUMBER_0 => notify
S5000000036	what country have minimum temperature record NUMBER_0 fahrenheit ?	now => ( @org.wikidata.country ) filter param:minimum_temperature_record:Measure(C) == NUMBER_0 unit:F => notify
S5000000037	i need to retrieve the country which are QUOTED_STRING_0 's part .	now => ( @org.wikidata.country ) filter param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S5000000038	search any country treccani id QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:treccani_id:String =~ QUOTED_STRING_0 => notify
