G/F and C/L Shop 7, Grand Fortune Mansion.1 Davis Street, Kennedy Town	g/f and c/l shop 7, grand fortune mansion.1 davis street, kennedy town	1.0
38 Hillwood Road, Tsim Sha Tsui 17/F, Nathan Hill	38 hillwood road, tsim sha tsui 17/f, nathan hill	1.0
Shop F3, G/F, 143 Kweilin Street, Sham Shui Po	shop f3, g/f, 143 kweilin street, sham shui po	1.0
1/F, Katharine House , 53-55 Chatham Road, Tsim Sha Tsui	1/f, katharine house , 53-55 chatham road, tsim sha tsui	1.0
98 Wellington Street Central-Mid-Levels Escalators	98 wellington street central-mid-levels escalators	1.0
Tai Pa St G/F No.77 Tai Yuen House	tai pa st g/f no.77 tai yuen house	1.0
Shop no.4, G/F, V Point, 18 Tang Lung Street, Causeway Bay	shop no.4, g/f, v point, 18 tang lung street, causeway bay	1.0
5 Cameron Road, Tsim Sha Tsui 2/F, Tern Plaza	5 cameron road, tsim sha tsui 2/f, tern plaza	1.0
1F, 108-100 Tsim Sha Tsui Centre, 66 Mody Road, Tsim Sha Tsui East Shop 108-110	1f, 108-100 tsim sha tsui centre, 66 mody road, tsim sha tsui east shop 108-110	1.0
Level 6, Island Shangri-La Hong Kong, Pacific Place, Supreme Court Road, Central	level 6, island shangri-la hong kong, pacific place, supreme court road, central	1.0
G/F, 535 Queen's Road West, Sai Wan	g/f, 535 queen's road west, sai wan	1.0
G/F, 71 Third Street, Sai Ying Pun	g/f, 71 third street, sai ying pun	1.0
Shops 10, 1/F, J.P. Plaza, No.22-36 Paterson Street, Causeway Bay	shops 10, 1/f, j.p. plaza, no.22-36 paterson street, causeway bay	1.0
Basement, Standard Chartered Bank Building, No.4-4A Des Voeux Road Central, Central	basement, standard chartered bank building, no.4-4a des voeux road central, central	1.0
G/F, No.9-13 Fuk Sau Lane, Sai Ying Pun, Hong Kong Hong Kong China	g/f, no.9-13 fuk sau lane, sai ying pun, hong kong hong kong china	1.0
32 Lower Cheung Sha, Lantau Island	32 lower cheung sha, lantau island	1.0
Houston Centre, 63 Mody Road, Tsimshatsui East	houston centre, 63 mody road, tsimshatsui east	1.0
Shop 5, G/F, Fortune Terrace, 4-16 Tak Shing Street, Jordan	shop 5, g/f, fortune terrace, 4-16 tak shing street, jordan	1.0
L6, Grand Central Plaza, 138 Sha Tin Rural Committee Road	l6, grand central plaza, 138 sha tin rural committee road	1.0
Shop 007, LG1/F, Pacific Place, 88 Queensway, Admiralty	shop 007, lg1/f, pacific place, 88 queensway, admiralty	1.0
1/F, The Fleet Arcade, No.1 Lung King Street, Fenwick Pier, Wan Chai Near Citic Tower	1/f, the fleet arcade, no.1 lung king street, fenwick pier, wan chai near citic tower	1.0
G/F, 5-7 Tsing Fung Street, Tin Hau	g/f, 5-7 tsing fung street, tin hau	1.0
One Harbour Drive, Wan Chai, 2/F, The St. Regis Hong Kong	one harbour drive, wan chai, 2/f, the st. regis hong kong	1.0
100 Cyberport Rd. Shop 208, The Arcade, Pok Fu Lam	100 cyberport rd. shop 208, the arcade, pok fu lam	1.0
75 Hollywood Road, Central	75 hollywood road, central	1.0
18 Sha Tin Centre Street Shop 704, 7/F, New Town Plaza Phase 1	18 sha tin centre street shop 704, 7/f, new town plaza phase 1	1.0
Shop 304 & 305, Level 3, The Peak Tower, 128 Peak Road Shop 304-305, 3/F, The Peak Tower	shop 304 & 305, level 3, the peak tower, 128 peak road shop 304-305, 3/f, the peak tower	1.0
G/F, Metropark Hotel Kowloon, 75 Waterloo Road, Mong Kok	g/f, metropark hotel kowloon, 75 waterloo road, mong kok	1.0
M/F, Mandarin Oriental Hong Kong, No.5 Connaught Road, Central 5 Connaught Road Central	m/f, mandarin oriental hong kong, no.5 connaught road, central 5 connaught road central	1.0
B/F, The Broadway, 54-62 Lockhart Road, Wan Chai	b/f, the broadway, 54-62 lockhart road, wan chai	1.0
Stanley Street 66-72	stanley street 66-72	1.0
