S4000000000	i am looking for the cities which has the highest population .	now => ( sort param:population:Number desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000001	enumerate cities .	now => @org.wikidata.city => notify
S4000000002	i 'm looking for the cities which has the highest population	now => ( sort param:population:Number desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000003	i am looking for the cities which has the highest population .	now => ( sort param:population:Number desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000004	get an cities	now => @org.wikidata.city => notify
S4000000005	i 'm looking for the cities which has the highest population .	now => ( sort param:population:Number desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000006	please search for all cities	now => @org.wikidata.city => notify
S4000000007	enumerate cities .	now => @org.wikidata.city => notify
S4000000008	get an cities .	now => @org.wikidata.city => notify
S4000000009	enumerate cities	now => @org.wikidata.city => notify
S4000000010	i am looking for the cities which has the highest population	now => ( sort param:population:Number desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000011	enumerate cities	now => @org.wikidata.city => notify
S4000000012	i am looking for the cities which has the highest population	now => ( sort param:population:Number desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000013	enumerate cities	now => @org.wikidata.city => notify
S4000000014	please get all cities	now => @org.wikidata.city => notify
S4000000015	i 'm looking for the cities which has the highest population .	now => ( sort param:population:Number desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S5000000016	i would like the cities that arch inform location id QUOTED_STRING_0 and have the most recent time of earliest written record .	now => ( sort param:time_of_earliest_written_record:Date desc of ( ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000017	i would like the cities that arch inform location id QUOTED_STRING_0 and have the most recent time of earliest written record	now => ( sort param:time_of_earliest_written_record:Date desc of ( ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000018	i 'm looking for the cities having earlier time of earliest written record than DATE_0	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date <= DATE_0 => notify
S5000000019	i need every cities that arch inform location id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S5000000020	i need to search an cities that are QUOTED_STRING_0 subclass .	now => ( @org.wikidata.city ) filter param:subclass_of:String =~ QUOTED_STRING_0 => notify
S5000000021	what 's cities that have diameter 2 cm	now => ( @org.wikidata.city ) filter param:diameter:Measure(m) == 2 unit:cm => notify
S5000000022	i 'm looking for the cities having earlier time of earliest written record than DATE_0 .	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date <= DATE_0 => notify
S5000000023	are there cities that is part of QUOTED_STRING_0 , and have start time tue	now => ( @org.wikidata.city ) filter param:part_of:Array(String) contains~ QUOTED_STRING_0 and param:start_time:Date == new Date ( enum:tuesday ) => notify
S5000000024	i 'm looking for the cities having earlier time of earliest written record than DATE_0	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date <= DATE_0 => notify
S5000000025	get the cities having date of official opening DATE_0 and the most recent time of earliest written record	now => ( sort param:time_of_earliest_written_record:Date desc of ( ( @org.wikidata.city ) filter param:date_of_official_opening:Date == DATE_0 ) ) [ 1 ] => notify
S5000000026	i 'd like the cities that arch inform location id QUOTED_STRING_0 and have the most recent time of earliest written record	now => ( sort param:time_of_earliest_written_record:Date desc of ( ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000027	i want all the cities pleiades id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:pleiades_id:String =~ QUOTED_STRING_0 => notify
S5000000028	search for any cities that arch inform location id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S5000000029	i 'm looking for the cities having earlier time of earliest written record than DATE_0 .	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date <= DATE_0 => notify
S5000000030	i want to find an cities that arch inform location id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S5000000031	get the cities having date of official opening DATE_0 and the most recent time of earliest written record .	now => ( sort param:time_of_earliest_written_record:Date desc of ( ( @org.wikidata.city ) filter param:date_of_official_opening:Date == DATE_0 ) ) [ 1 ] => notify
S5000000032	i 'm looking for the cities having earlier time of earliest written record than DATE_0	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date <= DATE_0 => notify
S5000000033	get any cities that arch inform location id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S5000000034	i need every cities that arch inform location id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S5000000035	i am looking for the cities having earlier time of earliest written record than DATE_0 .	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date <= DATE_0 => notify
S5000000036	enumerate cities pleiades id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:pleiades_id:String =~ QUOTED_STRING_0 => notify
S5000000037	i want to find an cities that arch inform location id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S5000000038	what is the cities with the most occupations	now => ( sort param:count:Number desc of ( compute count ( param:occupation:Array(Entity(org.wikidata:occupation)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
S5000000039	i want some cities having emergency phone number QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:emergency_phone_number:String =~ QUOTED_STRING_0 => notify
S5000000040	i need to search an cities that are QUOTED_STRING_0 subclass	now => ( @org.wikidata.city ) filter param:subclass_of:String =~ QUOTED_STRING_0 => notify
S5000000041	i want to find an cities that arch inform location id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S5000000042	i need to search an cities that are QUOTED_STRING_0 subclass	now => ( @org.wikidata.city ) filter param:subclass_of:String =~ QUOTED_STRING_0 => notify
S5000000043	search for any cities that arch inform location id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S5000000044	i would like the cities that arch inform location id QUOTED_STRING_0 and have the most recent time of earliest written record .	now => ( sort param:time_of_earliest_written_record:Date desc of ( ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000045	enumerate cities pleiades id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:pleiades_id:String =~ QUOTED_STRING_0 => notify
S5000000046	i am looking for the cities having earlier time of earliest written record than DATE_0	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date <= DATE_0 => notify
S5000000047	search for any cities that arch inform location id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 => notify
S6000000048	search for the cities having start time tue and the highest population	now => ( sort param:population:Number desc of ( ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) ) ) [ 1 ] => notify
S6000000049	i need an cities that is part of QUOTED_STRING_0 , and having area larger than 2 square ft .	now => ( @org.wikidata.city ) filter param:area:Measure(m2) >= 2 unit:ft2 and param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S6000000050	which country do the cities have	now => [ param:country:Entity(org.wikidata:country) ] of ( @org.wikidata.city ) => notify
S6000000051	what 's the cities pleiades id QUOTED_STRING_0 maintained by wiki project QUOTED_STRING_0 ?	now => ( @org.wikidata.city ) filter param:maintained_by_wikiproject:String =~ QUOTED_STRING_0 and param:pleiades_id:String =~ QUOTED_STRING_0 => notify
S6000000052	show me what 's the history of topic of cities .	now => [ param:history_of_topic:Entity(org.wikidata:history_of_topic) ] of ( @org.wikidata.city ) => notify
S6000000053	i need an cities that is part of QUOTED_STRING_0 , and having area larger than 2 square ft	now => ( @org.wikidata.city ) filter param:area:Measure(m2) >= 2 unit:ft2 and param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S6000000054	which cities get diameter 2 cm and are part of QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:diameter:Measure(m) == 2 unit:cm and param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S6000000055	get a citie which have minimum temperature record 2 f .	now => ( @org.wikidata.city ) filter param:minimum_temperature_record:Measure(C) == 2 unit:F => notify
S6000000056	i 'd like the official app of cities	now => [ param:official_app:Entity(org.wikidata:official_app) ] of ( @org.wikidata.city ) => notify
S6000000057	search for the cities having start time tue and the highest population .	now => ( sort param:population:Number desc of ( ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) ) ) [ 1 ] => notify
S6000000058	i want to search for the list of all cities compulsory education (minimum age) 2 , that have hotter maximum temperature record than 2 centigrade	now => ( @org.wikidata.city ) filter param:compulsory_education_minimum_age_:Number == 2 and param:maximum_temperature_record:Measure(C) >= 2 unit:C => notify
S6000000059	retrieve the list of all cities which have minimum temperature record 2 f	now => ( @org.wikidata.city ) filter param:minimum_temperature_record:Measure(C) == 2 unit:F => notify
S6000000060	get every cities with start time tue	now => ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) => notify
S6000000061	retrieve the list of all cities which have minimum temperature record 2 f	now => ( @org.wikidata.city ) filter param:minimum_temperature_record:Measure(C) == 2 unit:F => notify
S6000000062	enumerate cities that is part of QUOTED_STRING_0 , and having area larger than 2 square ft .	now => ( @org.wikidata.city ) filter param:area:Measure(m2) >= 2 unit:ft2 and param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S6000000063	get a citie which have minimum temperature record 2 f .	now => ( @org.wikidata.city ) filter param:minimum_temperature_record:Measure(C) == 2 unit:F => notify
S6000000064	i need all cities pleiades id QUOTED_STRING_0 maintained by wiki project QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:maintained_by_wikiproject:String =~ QUOTED_STRING_0 and param:pleiades_id:String =~ QUOTED_STRING_0 => notify
S6000000065	i 'd like to search for a citie with life expectancy longer than 2 ms .	now => ( @org.wikidata.city ) filter param:life_expectancy:Measure(ms) >= 2 unit:ms => notify
S6000000066	get any cities compulsory education (minimum age) 2 , that have hotter maximum temperature record than 2 centigrade	now => ( @org.wikidata.city ) filter param:compulsory_education_minimum_age_:Number == 2 and param:maximum_temperature_record:Measure(C) >= 2 unit:C => notify
S6000000067	which open data portal does the cities which has the highest population have ?	now => [ param:open_data_portal:Entity(org.wikidata:open_data_portal) ] of ( ( sort param:population:Number desc of ( @org.wikidata.city ) ) [ 1 ] ) => notify
S6000000068	i 'd like the official app of cities .	now => [ param:official_app:Entity(org.wikidata:official_app) ] of ( @org.wikidata.city ) => notify
S6000000069	enumerate cities that is part of QUOTED_STRING_0 , and having area larger than 2 square ft	now => ( @org.wikidata.city ) filter param:area:Measure(m2) >= 2 unit:ft2 and param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S6000000070	find all cities that arch inform location id QUOTED_STRING_0 and have emergency phone number QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 and param:emergency_phone_number:String =~ QUOTED_STRING_0 => notify
S6000000071	find all cities that arch inform location id QUOTED_STRING_0 and have emergency phone number QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:archinform_location_id:String =~ QUOTED_STRING_0 and param:emergency_phone_number:String =~ QUOTED_STRING_0 => notify
S6000000072	please search for the cities with start time tue .	now => ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) => notify
S6000000073	search for any cities with start time tue .	now => ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) => notify
S6000000074	get every cities with start time tue	now => ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) => notify
S6000000075	get a citie which have minimum temperature record 2 f .	now => ( @org.wikidata.city ) filter param:minimum_temperature_record:Measure(C) == 2 unit:F => notify
S6000000076	get a citie which have minimum temperature record 2 f .	now => ( @org.wikidata.city ) filter param:minimum_temperature_record:Measure(C) == 2 unit:F => notify
S6000000077	search the culture of cities	now => [ param:culture:Entity(org.wikidata:culture) ] of ( @org.wikidata.city ) => notify
S6000000078	i would like the official app of cities	now => [ param:official_app:Entity(org.wikidata:official_app) ] of ( @org.wikidata.city ) => notify
S6000000079	i am looking for the cities with life expectancy longer than 2 ms and the highest population	now => ( sort param:population:Number desc of ( ( @org.wikidata.city ) filter param:life_expectancy:Measure(ms) >= 2 unit:ms ) ) [ 1 ] => notify
S6000000080	enumerate cities that is part of QUOTED_STRING_0 , and having area larger than 2 square ft	now => ( @org.wikidata.city ) filter param:area:Measure(m2) >= 2 unit:ft2 and param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S6000000081	which country do the cities have ?	now => [ param:country:Entity(org.wikidata:country) ] of ( @org.wikidata.city ) => notify
S6000000082	get every cities with start time tue	now => ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) => notify
S6000000083	get every cities with start time tue	now => ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) => notify
S6000000084	i want to search for the list of all cities compulsory education (minimum age) 2 , that have hotter maximum temperature record than 2 centigrade .	now => ( @org.wikidata.city ) filter param:compulsory_education_minimum_age_:Number == 2 and param:maximum_temperature_record:Measure(C) >= 2 unit:C => notify
S6000000085	search for a list of cities with start time tue .	now => ( @org.wikidata.city ) filter param:start_time:Date == new Date ( enum:tuesday ) => notify
S6000000086	get any cities compulsory education (minimum age) 2 , that have hotter maximum temperature record than 2 centigrade	now => ( @org.wikidata.city ) filter param:compulsory_education_minimum_age_:Number == 2 and param:maximum_temperature_record:Measure(C) >= 2 unit:C => notify
S6000000087	i need an cities that is part of QUOTED_STRING_0 , and having area larger than 2 square ft	now => ( @org.wikidata.city ) filter param:area:Measure(m2) >= 2 unit:ft2 and param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S6000000088	retrieve the list of all cities which have minimum temperature record 2 f .	now => ( @org.wikidata.city ) filter param:minimum_temperature_record:Measure(C) == 2 unit:F => notify
S6000000089	retrieve the list of all cities which have minimum temperature record 2 f .	now => ( @org.wikidata.city ) filter param:minimum_temperature_record:Measure(C) == 2 unit:F => notify
